Institute,Semester,Course,Skill
RVCE,3,Data Structures,array
RVCE,3,Data Structures,link list
RVCE,3,Data Structures,stack
RVCE,3,Data Structures,queue
RVCE,3,Data Structures,tree
RVCE,3,Data Structures,graph
RVCE,3,Data Structures,sort algorithm
RVCE,3,Data Structures,search algorithm
RVCE,3,Data Structures,time complexity
RVCE,3,Operating Systems,process management
RVCE,3,Operating Systems,thread
RVCE,3,Operating Systems,concurrency
RVCE,3,Operating Systems,cpu scheduling
RVCE,3,Operating Systems,memory management
RVCE,3,Operating Systems,deadlock handling
RVCE,3,Operating Systems,system call
RVCE,4,Design and Analysis of Algorithms,divide and conquer
RVCE,4,Design and Analysis of Algorithms,greedy algorithm
RVCE,4,Design and Analysis of Algorithms,dynamic programming
RVCE,4,Design and Analysis of Algorithms,backtrack
RVCE,4,Design and Analysis of Algorithms,complexity analysis
RVCE,4,Database Management Systems,sql
RVCE,4,Database Management Systems,advanced sql
RVCE,4,Database Management Systems,normalization
RVCE,4,Database Management Systems,indexing
RVCE,4,Database Management Systems,transaction
RVCE,4,Database Management Systems,sql optimization
RVCE,5,Computer Networks,tcp / ip
RVCE,5,Computer Networks,http
RVCE,5,Computer Networks,rout
RVCE,5,Computer Networks,socket programming
RVCE,5,Computer Networks,network security
RVCE,5,Software Engineering,system design
RVCE,5,Software Engineering,sdlc
RVCE,5,Software Engineering,requirement analysis
RVCE,5,Software Engineering,design pattern
RVCE,5,Software Engineering,software testing
RVCE,6,Artificial Intelligence,machine learning
RVCE,6,Artificial Intelligence,deep learning
RVCE,6,Artificial Intelligence,model evaluation
RVCE,6,Artificial Intelligence,search algorithm
RVCE,6,Cloud Computing,cloud architecture
RVCE,6,Cloud Computing,virtualization
RVCE,6,Cloud Computing,aw
RVCE,6,Cloud Computing,multi - cloud
RVCE,6,Distributed Systems,distributed systems
RVCE,6,Distributed Systems,consistency model
RVCE,6,Distributed Systems,scalability
RVCE,7,Information Security,cryptography
RVCE,7,Information Security,access control
RVCE,7,Information Security,network security
RVCE,7,Information Security,cloud security
RVCE,7,Data Engineering,datum engineering
RVCE,7,Data Engineering,datum pipeline
RVCE,7,Data Engineering,mlops
BIT,3,Data Structures,array
BIT,3,Data Structures,link list
BIT,3,Data Structures,stack
BIT,3,Data Structures,queue
BIT,3,Data Structures,tree
BIT,3,Data Structures,graph
BIT,3,Data Structures,sort algorithm
BIT,3,Data Structures,search algorithm
BIT,3,Data Structures,hash
BIT,3,Programming Fundamentals,c programming
BIT,3,Programming Fundamentals,object orient programming
BIT,3,Programming Fundamentals,java
BIT,3,Programming Fundamentals,python
BIT,4,Design and Analysis of Algorithms,divide and conquer
BIT,4,Design and Analysis of Algorithms,greedy algorithm
BIT,4,Design and Analysis of Algorithms,dynamic programming
BIT,4,Design and Analysis of Algorithms,backtrack
BIT,4,Design and Analysis of Algorithms,complexity analysis
BIT,4,Database Management Systems,sql
BIT,4,Database Management Systems,normalization
BIT,4,Database Management Systems,indexing
BIT,4,Database Management Systems,transaction
BIT,4,Database Management Systems,er modeling
BIT,4,Database Management Systems,pl / sql
BIT,4,Operating Systems,process management
BIT,4,Operating Systems,cpu scheduling
BIT,4,Operating Systems,memory management
BIT,4,Operating Systems,file system
BIT,4,Operating Systems,deadlock handling
BIT,4,Operating Systems,system call
