Skill,Freq,Trend_Slope,Recency_Weight,Upcoming_Flag,Is_Taught_MSRIT,Taught_Institute_Count,Institutional_Gap_Score,Company_Spread,Company_Spread_Norm,Velocity,Volatility,Semantic_Centrality,Semantic_Gap_Distance,NLP_Rarity_Score,Skill_Cluster,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Skill_Domain,Domain_AI/ML,Domain_Cloud,Domain_Data,Domain_DevOps,Domain_Other,Domain_Security,Domain_Systems/Infra,Domain_Web/Mobile
advanced sql,8,-3.999999999999999,0.8125,1,1,3,0.4,8,0.8,-4.0,2.60768096208106,0.3796,0.5925,0.00743,5,False,False,False,False,False,True,False,False,Data,False,False,True,False,False,False,False,False
api gateway,1,0.0,0.25,0,1,1,0.8,1,0.1,0.0,0.44721359549995804,0.3058,0.7144,0.00746,3,False,False,False,True,False,False,False,False,Other,False,False,False,False,True,False,False,False
api rate limiting,1,0.0,1.0,0,0,0,1.0,1,0.1,0.0,0.447213595499958,0.2549,0.8071,0.00963,3,False,False,False,True,False,False,False,False,Other,False,False,False,False,True,False,False,False
auto scaling,1,0.0,0.5,0,0,0,1.0,1,0.1,0.0,0.44721359549995804,0.3381,0.688,0.00747,1,False,True,False,False,False,False,False,False,Other,False,False,False,False,True,False,False,False
aws,29,-1.5714285714285714,0.31896551724137934,0,0,0,1.0,10,1.0,-2.0,4.494441010848846,0.5493,0.4713,0.00431,0,True,False,False,False,False,False,False,False,Cloud,False,True,False,False,False,False,False,False
aws ec2,1,0.0,0.0,0,0,0,1.0,1,0.1,0.0,0.44721359549995804,0.4414,0.5926,0.00746,0,True,False,False,False,False,False,False,False,Cloud,False,True,False,False,False,False,False,False
azure,3,0.0,0.25,0,1,2,0.6,3,0.3,0.0,1.3416407864998738,0.4603,0.5066,0.00431,0,True,False,False,False,False,False,False,False,Cloud,False,True,False,False,False,False,False,False
background job processing,1,0.0,1.0,0,0,0,1.0,1,0.1,0.0,0.447213595499958,0.3587,0.6787,0.00964,1,False,True,False,False,False,False,False,False,Other,False,False,False,False,True,False,False,False
blue-green deployment,1,0.0,1.0,0,0,0,1.0,1,0.1,0.0,0.447213595499958,0.3046,0.7145,0.00962,6,False,False,False,False,False,False,True,False,Other,False,False,False,False,True,False,False,False
canary deployment,1,0.0,1.0,0,0,0,1.0,1,0.1,0.0,0.447213595499958,0.3212,0.7153,0.00745,6,False,False,False,False,False,False,True,False,Other,False,False,False,False,True,False,False,False
ci/cd,10,-0.7692307692307693,0.25,0,0,0,1.0,7,0.7,-1.0,2.5495097567963922,0.3192,0.7023,0.00747,7,False,False,False,False,False,False,False,True,DevOps,False,False,False,True,False,False,False,False
ci/cd pipelines,1,0.0,0.25,0,0,0,1.0,1,0.1,0.0,0.44721359549995804,0.272,0.7624,0.00963,7,False,False,False,False,False,False,False,True,Data,False,False,True,False,False,False,False,False
circuit breaker pattern,1,0.0,0.5,0,1,1,0.8,1,0.1,0.0,0.44721359549995804,0.1695,0.8309,0.00964,7,False,False,False,False,False,False,False,True,Other,False,False,False,False,True,False,False,False
cloud architecture,6,-1.9999999999999996,0.5833333333333334,0,1,5,0.0,5,0.5,-4.0,2.16794833886788,0.5765,0.4093,0.00742,0,True,False,False,False,False,False,False,False,Cloud,False,True,False,False,False,False,False,False
cloud cost optimization,1,0.0,0.75,1,1,1,0.8,1,0.1,0.0,0.447213595499958,0.4278,0.5698,0.00959,0,True,False,False,False,False,False,False,False,Cloud,False,True,False,False,False,False,False,False
cloud security,19,-6.999999999999998,0.8289473684210527,1,1,4,0.2,10,1.0,-7.0,5.761944116355173,0.5357,0.4634,0.00743,0,True,False,False,False,False,False,False,False,Cloud,False,True,False,False,False,False,False,False
css,11,-2.9999999999999996,0.09090909090909091,0,1,1,0.8,9,0.9,-3.0,3.1937438845342627,0.474,0.4972,0.00431,1,False,True,False,False,False,False,False,False,Web/Mobile,False,False,False,False,False,False,False,True
data structures,4,0.0,0.0,0,1,1,0.8,4,0.4,0.0,1.7888543819998322,0.4864,0.4817,0.00746,1,False,True,False,False,False,False,False,False,Data,False,False,True,False,False,False,False,False
