Skill,Freq,Trend_Slope,Recency_Weight,Upcoming_Flag,Is_Taught_MSRIT,Taught_Institute_Count,Institutional_Gap_Score,Company_Spread,Company_Spread_Norm,Velocity,Volatility,Semantic_Centrality,Semantic_Gap_Distance,NLP_Rarity_Score,Skill_Cluster,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Skill_Domain,Domain_AI/ML,Domain_Cloud,Domain_Data,Domain_DevOps,Domain_Other,Domain_Security,Domain_Systems/Infra,Domain_Web/Mobile,Demand_Score,Label_MSRIT,Recommendation_Prob_MSRIT,Trajectory,Skill_Keywords,Cluster_Theme,Industry_Threshold_Year,CLI,Watch_List,Watch_Urgency,Transition,In_Transition,Propagated_Gap_Score,Semantic_Neighbors,Top_Cooccurring,Priority_Score,NLP_Gap_Priority,Debt_Score
advanced sql,8,-3.999999999999999,0.8125,1,1,3,0.4,8,0.8,-4.0,2.60768096208106,0.3796,0.5925,0.00743,5,False,False,False,False,False,True,False,False,Data,False,False,True,False,False,False,False,False,0.9225,0,0.223063106585699,Upcoming,"advanced, sql",sql / advanced / optimization / window,2024,0,0,0.0,,0,0.0,"sql, sql optimization, sql window functions","python, data visualization",0.3039,0.358,0.0
api gateway,1,0.0,0.25,0,1,1,0.8,1,0.1,0.0,0.447213595499958,0.3058,0.7144,0.00746,3,False,False,False,True,False,False,False,False,Other,False,False,False,False,True,False,False,False,0.32,0,0.0,Transitional,"api, gateway",api / apis / gateway / rate,2022,0,0,0.0,,0,0.0,"rest apis, api rate limiting, llm apis","grpc, oauth2",0.205,0.3527,0.0
api rate limiting,1,0.0,1.0,0,0,0,1.0,1,0.1,0.0,0.447213595499958,0.2549,0.8071,0.00963,3,False,False,False,True,False,False,False,False,Other,False,False,False,False,True,False,False,False,0.47,0,0.0,Transitional,"api, rate, limiting",api / apis / gateway / rate,2025,0,0,0.0,,0,0.0011,"api gateway, rest apis, llm apis","background job processing, golang, microservices",0.225,0.4513,0.0
auto scaling,1,0.0,0.5,0,0,0,1.0,1,0.1,0.0,0.447213595499958,0.3381,0.688,0.00747,1,False,True,False,False,False,False,False,False,Other,False,False,False,False,True,False,False,False,0.37,0,0.0,Transitional,"auto, scaling",data / learning / feature / auto,2023,2,0,0.0,,0,0.2024,"load balancing, kpi tracking, machine learning","infrastructure as code, terraform",0.375,0.4434,6.0
aws,29,-1.5714285714285714,0.3189655172413793,0,0,0,1.0,10,1.0,-2.0,4.494441010848846,0.5493,0.4713,0.00431,0,True,False,False,False,False,False,False,False,Cloud,False,True,False,False,False,False,False,False,6.8995,1,0.6940987564034805,Traditional,aws,cloud / aws / architecture / multi,2022,3,0,0.0,,0,3.6193,"aws ec2, terraform, cloud security","kubernetes, terraform, linux",0.7614,0.5134,8.25
aws ec2,1,0.0,0.0,0,0,0,1.0,1,0.1,0.0,0.447213595499958,0.4414,0.5926,0.00746,0,True,False,False,False,False,False,False,False,Cloud,False,True,False,False,False,False,False,False,0.27,0,0.0,Transitional,"aws, ec2",cloud / aws / architecture / multi,2021,4,0,0.0,,0,0.3155,"aws, cloud security, cloud architecture","aws, linux, load balancing",0.525,0.4913,12.0
azure,3,0.0,0.25,0,1,2,0.6,3,0.3,0.0,1.3416407864998738,0.4603,0.5066,0.00431,0,True,False,False,False,False,False,False,False,Cloud,False,True,False,False,False,False,False,False,0.86,0,0.0,Transitional,azure,cloud / aws / architecture / multi,2022,0,0,0.0,,0,1.2319,"cloud cost optimization, multi-cloud, aws","terraform, aws",0.2294,0.2097,0.0
background job processing,1,0.0,1.0,0,0,0,1.0,1,0.1,0.0,0.447213595499958,0.3587,0.6787,0.00964,1,False,True,False,False,False,False,False,False,Other,False,False,False,False,True,False,False,False,0.47,0,0.0035294117647058,Traditional,"background, job, processing",data / learning / feature / auto,2025,0,0,0.0,,0,0.0,"shell scripting, kpi tracking, model monitoring","api rate limiting, golang, microservices",0.2257,0.3956,0.0
blue-green deployment,1,0.0,1.0,0,0,0,1.0,1,0.1,0.0,0.447213595499958,0.3046,0.7145,0.00962,6,False,False,False,False,False,False,True,False,Other,False,False,False,False,True,False,False,False,0.47,0,0.0,Transitional,"blue, green, deployment",deployment / model / blue / green,2025,0,0,0.0,,0,0.0011,"model deployment, canary deployment, terraform","canary deployment, cloud security, kubernetes",0.225,0.4105,0.0
canary deployment,1,0.0,1.0,0,0,0,1.0,1,0.1,0.0,0.447213595499958,0.3212,0.7153,0.00745,6,False,False,False,False,False,False,True,False,Other,False,False,False,False,True,False,False,False,0.47,0,0.0035294117647058,Transitional,"canary, deployment",deployment / model / blue / green,2025,0,0,0.0,,0,0.0,"blue-green deployment, model deployment, terraform","blue-green deployment, cloud security, kubernetes",0.2257,0.3653,0.0
